transaction_id,deterministic_invoice,deterministic_score,deterministic_status,expected_invoice,ai_decision,ai_invoice,ai_confidence,ai_risk,verification_decision,deterministic_correct
B0081,INV0081,100.0,MATCHED,INV0081,,,,,,True
B0206,INV0206,100.0,MATCHED,INV0206,,,,,,True
B0035,INV0035,100.0,MATCHED,INV0035,,,,,,True
B0264,INV0264,100.0,MATCHED,INV0264,,,,,,True
B0428,INV0428,100.0,MATCHED,INV0428,,,,,,True
B0367,INV0367,100.0,MATCHED,INV0367,,,,,,True
B0092,INV0092,100.0,MATCHED,INV0092,,,,,,True
B0340,INV0340,100.0,MATCHED,INV0340,,,,,,True
B0474,INV0474,100.0,MATCHED,INV0474,,,,,,True
B0053,INV0374,70.0,WARNING,INV0053,REVIEW,,50.0,LOW,REVIEW,False
B0346,INV0346,100.0,MATCHED,INV0346,,,,,,True
B0265,INV0265,100.0,MATCHED,INV0265,,,,,,True
B0242,INV0242,100.0,MATCHED,INV0242,,,,,,True
B0014,INV0014,100.0,MATCHED,INV0014,,,,,,True
B0316,INV0316,100.0,MATCHED,INV0316,,,,,,True
B0089,INV0097,70.0,WARNING,INV0089,MATCH,INV0097,95.0,LOW,REVIEW,False
B0388,INV0388,100.0,MATCHED,INV0388,,,,,,True
B0274,INV0274,100.0,MATCHED,INV0274,,,,,,True
B0167,INV0167,100.0,MATCHED,INV0167,,,,,,True
B0329,INV0329,100.0,MATCHED,INV0329,,,,,,True
B0493,INV0493,100.0,MATCHED,INV0493,,,,,,True
B0135,INV0135,100.0,MATCHED,INV0135,,,,,,True
B0307,INV0307,100.0,MATCHED,INV0307,,,,,,True
B0481,INV0481,100.0,MATCHED,INV0481,,,,,,True
B0320,INV0320,100.0,MATCHED,INV0320,,,,,,True
B0244,INV0244,100.0,MATCHED,INV0244,,,,,,True
B0055,INV0055,100.0,MATCHED,INV0055,,,,,,True
B0364,INV0364,100.0,MATCHED,INV0364,,,,,,True
B0051,INV0051,100.0,MATCHED,INV0051,,,,,,True
B0457,INV0457,100.0,MATCHED,INV0457,,,,,,True
B0175,INV0175,100.0,MATCHED,INV0175,,,,,,True
B0446,INV0446,100.0,MATCHED,INV0446,,,,,,True
B0190,INV0190,100.0,MATCHED,INV0190,,,,,,True
B0497,INV0497,100.0,MATCHED,INV0497,,,,,,True
B0188,INV0188,100.0,MATCHED,INV0188,,,,,,True
B0170,INV0170,100.0,MATCHED,INV0170,,,,,,True
B0059,INV0059,100.0,MATCHED,INV0059,,,,,,True
B0049,INV0049,100.0,MATCHED,INV0049,,,,,,True
B0345,INV0345,100.0,MATCHED,INV0345,,,,,,True
B0236,INV0236,100.0,MATCHED,INV0236,,,,,,True
B0253,INV0253,100.0,MATCHED,INV0253,,,,,,True
B0022,INV0022,100.0,MATCHED,INV0022,,,,,,True
B0314,INV0314,100.0,MATCHED,INV0314,,,,,,True
B0460,INV0460,100.0,MATCHED,INV0460,,,,,,True
B0161,INV0161,100.0,MATCHED,INV0161,,,,,,True
B0277,INV0277,100.0,MATCHED,INV0277,,,,,,True
B0444,INV0444,100.0,MATCHED,INV0444,,,,,,True
B0192,INV0192,100.0,MATCHED,INV0192,,,,,,True
B0386,INV0386,100.0,MATCHED,INV0386,,,,,,True
B0294,INV0294,100.0,MATCHED,INV0294,,,,,,True
B0414,INV0414,100.0,MATCHED,INV0414,,,,,,True
B0344,INV0344,100.0,MATCHED,INV0344,,,,,,True
B0258,INV0258,100.0,MATCHED,INV0258,,,,,,True
B0309,INV0309,100.0,MATCHED,INV0309,,,,,,True
B0150,INV0150,100.0,MATCHED,INV0150,,,,,,True
B0131,INV0131,100.0,MATCHED,INV0131,,,,,,True
B0152,INV0152,100.0,MATCHED,INV0152,,,,,,True
B0360,INV0360,100.0,MATCHED,INV0360,,,,,,True
B0100,INV0100,100.0,MATCHED,INV0100,,,,,,True
B0373,INV0373,100.0,MATCHED,INV0373,,,,,,True
B0088,INV0088,100.0,MATCHED,INV0088,,,,,,True
B0459,INV0459,100.0,MATCHED,INV0459,,,,,,True
B0331,,64.16666666666666,EXCEPTION,INV0331,MATCH,INV0001,95.0,HIGH,EXCEPTION,False
B0215,INV0215,100.0,MATCHED,INV0215,,,,,,True
B0467,INV0467,100.0,MATCHED,INV0467,,,,,,True
B0122,INV0122,100.0,MATCHED,INV0122,,,,,,True
B0500,INV0500,100.0,MATCHED,INV0500,,,,,,True
B0021,INV0185,70.0,WARNING,INV0021,REVIEW,,50.0,MEDIUM,REVIEW,False
B0189,INV0189,100.0,MATCHED,INV0189,,,,,,True
B0072,INV0072,100.0,MATCHED,INV0072,,,,,,True
B0107,INV0107,100.0,MATCHED,INV0107,,,,,,True
B0271,INV0271,100.0,MATCHED,INV0271,,,,,,True
B0349,INV0349,100.0,MATCHED,INV0349,,,,,,True
B0436,INV0436,100.0,MATCHED,INV0436,,,,,,True
B0103,INV0103,100.0,MATCHED,INV0103,,,,,,True
