transaction_id,date,amount,description,counterparty
B0460,2026-01-29,6500.0,SWIGGY,SWIGGY
B0161,2026-05-29,6500.0,SWIGGY,SWIGGY
B0277,2026-03-11,35000.0,RAZORPAY,RAZORPAY
B0444,2026-06-07,50000.0,META ADS,META ADS
B0192,2026-07-19,2500.0,AWS INDIA,AWS INDIA
B0386,2026-07-11,8900.0,SWIGGY,SWIGGY
B0294,2026-07-30,2500.0,UBER,UBER
B0414,2026-08-20,2500.0,FLIPKART,FLIPKART
B0344,2026-03-10,7200.0,AWS INDIA,AWS INDIA
B0258,2026-03-13,1200.0,GOOGLE CLOUD,GOOGLE CLOUD
B0309,2026-03-16,50000.0,UBER,UBER
B0150,2026-02-10,9500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0131,2026-05-06,75000.0,SWIGGY,SWIGGY
B0152,2026-02-26,50000.0,AWS INDIA,AWS INDIA
B0360,2026-03-12,1200.0,FLIPKART,FLIPKART
B0100,2026-01-15,7200.0,SWIGGY,SWIGGY
B0373,2026-01-10,50000.0,FLIPKART,FLIPKART
B0088,2026-02-16,22000.0,FLIPKART,FLIPKART
B0459,2026-05-19,5000.0,FLIPKART,FLIPKART
B0331,2026-05-01,1200.0,UBER,UBER
B0215,2026-05-03,18000.0,ZOHO,ZOHO
B0467,2026-06-01,75000.0,RAZORPAY,RAZORPAY
B0122,2026-08-02,35000.0,FLIPKART,FLIPKART
B0500,2026-07-26,8900.0,SWIGGY,SWIGGY
B0021,2026-01-21,11000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0189,2026-07-03,7200.0,AMAZON,AMAZON
B0072,2026-05-31,500.0,RAZORPAY,RAZORPAY
B0107,2026-04-14,8900.0,META ADS,META ADS
B0271,2026-03-17,1200.0,AWS INDIA,AWS INDIA
B0349,2026-05-22,11000.0,FLIPKART,FLIPKART
B0436,2026-01-30,22000.0,SWIGGY,SWIGGY
B0103,2026-05-09,50000.0,ZOHO,ZOHO
